,SecurityID,2019-02-28,2019-04-30,2019-06-30,2019-08-31,2019-10-31,2019-12-31
161,16163.0,Cluster 1,Cluster 38,Cluster 23,Cluster 28,Cluster 50,Cluster 15
162,16167.0,Cluster 1,Cluster 97,Cluster 15,Cluster 58,Cluster 50,Cluster 38
163,16192.0,Cluster 1,Cluster 2,Cluster 9,Cluster 29,Cluster 50,Cluster 12
164,16222.0,Cluster 1,Cluster 37,Cluster 120,Cluster 58,Cluster 9,Cluster 34
165,16246.0,Cluster 1,Cluster 29,Cluster 9,Cluster 14,Cluster 8,Cluster 78
166,16266.0,Cluster 1,Cluster 97,Cluster 9,Cluster 58,Cluster 8,Cluster 34
167,16267.0,Cluster 1,Cluster 19,Cluster 9,Cluster 58,Cluster 8,Cluster 0
168,16270.0,Cluster 1,Cluster 97,Cluster 15,Cluster 58,Cluster 50,Cluster 0
169,16277.0,Cluster 1,Cluster 44,Cluster 32,Cluster 28,Cluster 63,Cluster 34
170,16297.0,Cluster 1,Cluster 38,Cluster 9,Cluster 58,Cluster 50,Cluster 12
171,16307.0,Cluster 1,Cluster 1,Cluster 22,Cluster 28,Cluster 4,Cluster 31
172,16311.0,Cluster 1,Cluster 1,Cluster 3,Cluster 29,Cluster 24,Cluster 1
173,16312.0,Cluster 1,Cluster 97,Cluster 3,Cluster 29,Cluster 8,Cluster 94
174,16313.0,Cluster 1,Cluster 97,Cluster 9,Cluster 29,Cluster 9,Cluster 12
175,16315.0,Cluster 1,Cluster 2,Cluster 9,Cluster 29,Cluster 9,Cluster 12
176,16328.0,Cluster 1,Cluster 29,Cluster 15,Cluster 7,Cluster 58,Cluster 12
177,16332.0,Cluster 1,Cluster 1,Cluster 23,Cluster 28,Cluster 50,Cluster 15
178,16346.0,Cluster 1,Cluster 1,Cluster 15,Cluster 28,Cluster 8,Cluster 34
179,16626.0,Cluster 1,Cluster 1,Cluster 9,Cluster 14,Cluster 58,Cluster 34
180,16970.0,Cluster 1,Cluster 97,Cluster 0,Cluster 29,Cluster 1,Cluster 0
181,17147.0,Cluster 1,Cluster 29,Cluster 15,Cluster 109,Cluster 50,Cluster 4
182,17151.0,Cluster 1,Cluster 29,Cluster 15,Cluster 58,Cluster 50,Cluster 1
183,17156.0,Cluster 1,Cluster 97,Cluster 28,,Cluster 1,
184,17157.0,Cluster 1,Cluster 38,Cluster 9,Cluster 14,Cluster 58,Cluster 0
185,17197.0,Cluster 1,Cluster 1,Cluster 15,Cluster 29,Cluster 9,Cluster 34
186,17486.0,Cluster 1,Cluster 29,Cluster 6,,Cluster 50,
187,17752.0,Cluster 1,Cluster 52,Cluster 15,Cluster 12,Cluster 106,Cluster 51
188,17754.0,Cluster 1,Cluster 97,Cluster 15,Cluster 29,Cluster 58,Cluster 34
189,18012.0,Cluster 1,Cluster 2,,Cluster 10,,Cluster 0
190,18035.0,Cluster 1,Cluster 97,Cluster 52,Cluster 28,Cluster 4,Cluster 34
191,18055.0,Cluster 1,Cluster 29,Cluster 15,Cluster 25,Cluster 1,Cluster 12
